Err2D,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
2.877545e+01,2.142857e-01,7.430191e-01,3.269204e-01,5.034729e-01,6.178640e-01,1.166635e-01,1.481436e-01,7.388933e-02,2.250307e-01,6.898151e-01
1.336211e+00,5.000000e-01,5.338796e-01,4.723013e-01,5.687493e-01,3.860591e-01,5.598495e-01,4.869229e-01,4.749893e-01,7.147419e-01,9.529449e-01
9.788776e+00,5.000000e-01,6.743071e-01,4.725892e-01,7.568988e-01,5.030159e-01,3.919548e-01,3.662936e-01,2.804941e-01,2.861207e-01,7.383445e-01
2.531147e+00,5.714286e-01,6.382627e-01,4.578351e-01,8.012484e-01,4.685820e-01,4.520337e-01,3.598643e-01,3.939329e-01,1.314708e-01,5.268628e-01
8.500335e+00,5.714286e-01,6.382515e-01,4.579949e-01,7.864652e-01,5.655004e-01,4.245066e-01,3.529744e-01,3.443362e-01,4.169748e-04,5.906907e-04
3.646552e+01,6.428571e-01,5.489693e-01,5.898207e-01,6.977661e-01,7.188082e-01,6.100527e-01,4.692718e-01,5.047083e-01,1.211822e-01,5.062668e-01
3.098818e+01,6.428571e-01,5.489784e-01,5.898773e-01,6.841201e-01,7.809426e-01,6.281548e-01,4.640282e-01,5.494014e-01,4.440712e-04,6.087631e-04
1.077123e+01,5.714286e-01,6.858053e-01,4.076215e-01,8.061761e-01,5.769549e-01,4.715069e-01,3.809024e-01,4.018272e-01,1.310392e-01,5.270202e-01
8.503843e+00,7.857143e-01,4.566943e-01,6.318279e-01,7.056505e-01,6.187443e-01,3.970403e-01,2.886178e-01,2.970351e-01,4.192296e-01,8.356079e-01
2.260789e+01,7.857143e-01,4.164830e-01,6.982857e-01,6.622865e-01,7.296769e-01,6.954708e-01,4.765786e-01,5.656472e-01,1.051179e-01,4.712884e-01
3.306002e+01,7.142857e-01,4.142103e-01,7.409960e-01,6.893186e-01,7.647212e-01,6.132670e-01,4.508036e-01,4.935322e-01,1.006769e-04,1.604704e-04
6.853235e+00,7.142857e-01,4.573538e-01,6.721336e-01,7.695701e-01,5.419455e-01,4.034917e-01,3.430002e-01,2.319874e-01,1.123593e-01,4.879119e-01
6.451333e+00,7.142857e-01,4.573595e-01,6.721594e-01,7.780176e-01,5.544619e-01,3.780287e-01,3.224024e-01,2.146313e-01,1.350806e-04,1.709076e-04
1.579993e+01,6.428571e-01,5.675263e-01,5.656383e-01,7.978369e-01,5.701299e-01,3.233125e-01,2.578644e-01,2.518448e-01,1.209162e-01,5.063595e-01
3.846501e+00,7.857143e-01,4.568519e-01,6.319726e-01,7.568988e-01,5.803896e-01,4.101478e-01,3.195961e-01,2.668720e-01,3.142962e-01,7.559516e-01
5.281218e+00,7.857143e-01,4.568784e-01,6.319971e-01,7.608410e-01,5.603506e-01,3.976175e-01,3.076200e-01,2.632474e-01,8.940780e-05,1.179020e-04
4.862945e+00,7.857143e-01,4.569047e-01,6.320216e-01,7.608410e-01,5.346934e-01,3.754520e-01,2.965589e-01,2.358054e-01,1.218760e-04,1.180507e-04
6.038879e+00,7.857143e-01,4.569311e-01,6.320463e-01,7.726675e-01,4.901312e-01,3.640746e-01,2.830271e-01,2.382716e-01,5.957083e-05,1.041367e-04
7.120561e+00,7.857143e-01,4.569574e-01,6.320711e-01,7.844941e-01,4.493630e-01,3.647412e-01,2.791891e-01,2.474342e-01,5.104064e-05,6.480862e-05
7.182256e+00,7.857143e-01,4.569839e-01,6.320958e-01,7.884363e-01,4.336667e-01,3.653604e-01,2.745868e-01,2.574891e-01,5.500699e-05,1.375801e-04
1.686546e+01,7.857143e-01,4.739416e-01,5.862868e-01,7.963206e-01,3.836401e-01,5.338733e-01,4.038172e-01,3.714335e-01,1.047889e-01,4.713934e-01
8.765010e+00,8.571429e-01,4.181458e-01,6.266231e-01,7.236367e-01,5.670831e-01,8.096369e-01,5.709254e-01,5.833695e-01,9.825570e-02,4.564180e-01
1.081620e+01,1,4.118877e-01,5.723232e-01,6.649146e-01,6.440981e-01,9.684178e-01,6.335390e-01,6.723880e-01,1.746496e-01,5.904041e-01
8.531783e+00,9.285714e-01,4.013689e-01,6.003133e-01,6.734173e-01,6.209592e-01,9.470969e-01,6.544829e-01,6.495434e-01,7.415212e-05,1.725790e-04
8.567778e+00,1,4.118399e-01,5.725947e-01,6.649146e-01,5.878899e-01,9.429729e-01,6.233770e-01,6.441324e-01,8.734736e-02,4.303095e-01
9.032125e+00,1,4.118145e-01,5.727313e-01,6.747700e-01,5.675369e-01,9.540536e-01,6.288647e-01,6.547312e-01,8.922776e-05,1.318441e-04
1.220648e+01,9.285714e-01,4.248134e-01,5.990427e-01,6.664605e-01,5.725910e-01,9.408849e-01,6.329111e-01,6.741201e-01,2.602912e-04,6.467605e-04
5.813336e+00,8.571429e-01,4.179885e-01,6.277397e-01,7.088535e-01,4.915085e-01,7.949648e-01,5.663381e-01,5.629532e-01,1.690816e-04,2.984504e-04
6.258727e+00,7.857143e-01,5.310328e-01,5.225607e-01,7.726675e-01,4.224331e-01,2.566008e-01,2.210378e-01,1.118602e-01,1.048711e-01,4.713671e-01
6.796705e+00,7.142857e-01,5.268127e-01,5.583122e-01,7.400038e-01,3.890934e-01,2.464126e-01,2.144303e-01,1.281195e-01,8.632174e-05,1.405260e-04
6.913179e+00,7.142857e-01,5.268231e-01,5.583977e-01,7.484513e-01,4.341489e-01,2.675064e-01,2.323745e-01,1.402799e-01,1.008364e-04,1.157343e-04
2.167558e+01,6.428571e-01,6.116477e-01,4.218352e-01,7.341555e-01,5.001501e-01,2.366905e-01,1.882046e-01,1.853919e-01,8.871822e-05,1.230853e-04
1.477648e+01,5.714286e-01,6.703258e-01,3.716874e-01,8.258870e-01,2.558467e-01,1.525521e-01,1.181721e-01,1.380462e-01,2.671519e-05,7.408893e-05
7.962442e+00,7.142857e-01,5.268885e-01,5.589107e-01,6.555284e-01,7.159845e-01,2.926571e-01,2.477524e-01,1.708847e-01,2.244723e-01,6.630243e-01
1.152300e+01,7.142857e-01,5.193787e-01,5.813847e-01,5.710531e-01,5.003950e-01,3.022847e-01,2.314766e-01,2.277323e-01,1.646315e-04,2.372181e-04
3.107200e+00,7.857143e-01,5.240915e-01,5.452309e-01,5.992116e-01,4.104324e-01,4.081369e-01,2.679734e-01,3.482608e-01,1.054035e-01,4.711988e-01
1.366990e+01,7.142857e-01,5.917986e-01,4.633374e-01,6.681997e-01,3.818414e-01,3.521573e-01,2.233497e-01,3.318228e-01,6.419839e-04,8.792025e-04
9.598953e+00,7.857143e-01,5.581282e-01,4.605228e-01,6.662286e-01,5.283043e-01,3.648159e-01,2.287173e-01,3.250637e-01,1.051074e-01,4.712912e-01
5.373462e+00,7.857143e-01,5.581382e-01,4.606108e-01,6.701708e-01,5.190747e-01,4.046967e-01,2.531450e-01,3.612977e-01,4.558183e-04,5.236593e-04
3.484130e+00,7.857143e-01,5.581487e-01,4.606986e-01,7.411301e-01,4.384179e-01,4.326422e-01,2.695444e-01,3.875523e-01,3.743585e-04,3.944093e-04
5.584364e+00,7.857143e-01,5.581586e-01,4.607869e-01,7.253614e-01,4.771559e-01,4.413620e-01,2.794127e-01,3.899443e-01,1.898158e-04,2.603401e-04
4.932513e+00,7.857143e-01,5.581692e-01,4.608748e-01,7.056505e-01,3.939420e-01,4.571090e-01,2.886837e-01,4.047203e-01,2.844650e-04,3.516737e-04
6.053358e+00,9.285714e-01,4.700737e-01,5.306200e-01,6.351550e-01,4.618876e-01,4.843596e-01,3.437938e-01,3.158692e-01,1.852576e-01,6.061875e-01
1.282887e+01,7.142857e-01,5.095917e-01,4.295276e-01,5.245917e-01,2.742227e-01,4.595357e-01,3.028906e-01,4.191243e-01,7.757654e-04,8.066987e-04
1.677821e+01,6.428571e-01,5.421417e-01,4.369995e-01,4.748812e-01,2.605316e-01,5.124406e-01,3.923958e-01,4.268471e-01,5.907265e-04,6.032280e-04
1.563488e+01,4.285714e-01,6.388479e-01,3.057317e-01,3.134034e-01,2.722981e-01,5.654486e-01,5.022159e-01,5.296543e-01,4.182128e-04,5.216195e-04
2.120496e+01,3.571429e-01,6.839129e-01,3.046413e-01,3.626807e-01,4.701745e-01,5.750955e-01,5.265411e-01,5.911307e-01,5.609376e-04,4.353361e-04
