Err2D,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
6.603947e+01,5.000000e-01,5.539858e-01,5.763940e-01,4.832572e-01,4.030463e-01,5.160427e-01,5.276052e-01,4.836228e-01,6.660213e-03,6.079092e-04
6.577324e+01,5.000000e-01,5.540019e-01,5.766504e-01,4.539574e-01,4.393398e-01,5.618091e-01,5.874048e-01,4.864451e-01,6.167760e-03,3.485037e-04
7.275889e+01,5.000000e-01,5.540168e-01,5.769062e-01,4.512938e-01,4.767677e-01,4.521161e-01,4.205558e-01,5.276162e-01,1.188724e-03,1.458015e-03
6.060824e+01,7.500000e-01,4.824577e-01,5.414190e-01,4.292237e-01,5.208334e-01,5.654359e-01,5.445170e-01,4.558494e-01,3.378034e-01,6.898592e-01
6.235656e+01,5.000000e-01,4.736992e-01,6.372037e-01,5.312024e-01,4.471931e-01,4.751154e-01,4.978192e-01,4.079320e-01,6.058757e-03,7.906636e-04
6.253897e+01,5.000000e-01,4.736451e-01,6.374764e-01,5.498478e-01,5.200767e-01,4.448959e-01,4.436846e-01,4.481331e-01,6.502022e-03,9.145255e-04
6.152114e+01,5.000000e-01,5.541155e-01,5.784484e-01,5.738204e-01,3.565567e-01,1.862420e-01,1.820941e-01,1.969503e-01,7.491795e-03,1.159884e-03
4.924735e+01,5.000000e-01,4.510145e-01,6.939891e-01,6.777017e-01,6.157380e-01,9.075408e-01,9.201712e-01,8.727148e-01,6.561855e-03,7.013235e-04
6.288597e+01,5.000000e-01,4.509756e-01,6.942167e-01,6.324201e-01,7.661777e-01,8.990533e-01,8.789982e-01,9.508245e-01,6.905950e-03,2.044236e-03
3.253774e+01,2.500000e-01,5.732804e-01,6.857890e-01,6.100457e-01,7.056563e-01,3.874970e-01,4.683773e-01,2.793668e-01,5.813736e-03,1.241076e-03
2.426816e+01,5.000000e-01,4.156876e-01,7.636362e-01,5.232116e-01,5.639098e-01,1.627860e-01,1.521168e-01,1.884747e-01,3.930343e-01,7.451158e-01
3.807294e+01,2.500000e-01,2.631158e-01,7.012554e-01,3.191781e-01,6.135992e-01,2.219682e-01,2.260025e-01,2.899986e-01,7.923313e-03,2.218823e-03
1.313812e+01,5.000000e-01,5.580143e-01,5.946051e-01,4.086758e-01,4.818738e-01,2.656648e-01,2.733612e-01,2.437950e-01,7.750172e-01,9.450577e-01
1.402680e+01,5.000000e-01,5.580555e-01,5.947885e-01,3.314307e-01,4.743927e-01,3.584512e-01,3.610266e-01,3.514411e-01,7.044666e-03,7.829693e-04
2.964978e+00,7.500000e-01,4.334341e-01,6.595009e-01,3.607306e-01,3.669565e-01,6.239293e-01,5.446874e-01,6.488409e-01,3.376665e-01,6.899100e-01
2.184841e+01,5.000000e-01,3.507427e-01,6.945244e-01,3.367580e-01,3.880245e-01,1.063015e-01,1.028675e-01,1.150179e-01,6.529989e-03,1.001476e-03
1.238991e+01,2.500000e-01,7.444459e-01,3.224470e-01,5.269406e-01,1.890660e-01,7.495922e-05,8.562344e-05,7.332533e-05,4.706169e-01,8.160806e-01
1.770520e+01,2.500000e-01,7.445185e-01,3.226026e-01,6.036530e-01,2.609988e-01,4.420781e-02,5.048135e-02,4.329570e-02,6.270909e-03,1.103745e-03
2.411359e+01,2.500000e-01,7.445920e-01,3.227624e-01,4.853881e-01,3.489330e-01,1.732954e-01,1.978260e-01,1.699213e-01,6.891613e-03,1.391055e-03
6.808552e+01,0,6.749165e-01,3.898434e-01,5.245434e-01,2.912077e-01,6.763048e-25,9.169091e-25,5.558835e-25,7.862310e-03,1.660586e-03
8.077778e+01,0,6.749387e-01,3.899540e-01,5.365297e-01,4.089953e-01,5.747140e-24,7.018565e-24,7.480581e-24,6.524458e-03,5.061324e-04
1.426321e+01,2.500000e-01,7.447976e-01,3.232176e-01,4.086758e-01,3.150827e-01,2.278513e-01,2.598608e-01,2.242068e-01,4.694322e-01,8.166023e-01
7.460723e+01,0,6.749912e-01,3.901850e-01,3.567352e-01,2.800191e-01,2.367346e-24,2.862227e-24,3.163302e-24,7.406842e-03,2.078263e-03
1.275066e+01,2.500000e-01,7.449378e-01,3.235285e-01,3.095890e-01,2.784315e-01,1.447458e-01,1.649771e-01,1.427645e-01,4.655405e-01,8.183164e-01
3.979044e+01,0,6.359431e-01,3.036599e-01,3.966895e-01,2.902026e-01,3.599377e-24,4.475418e-24,4.455237e-24,7.674223e-03,2.642702e-03
6.283878e+00,2.500000e-01,7.452899e-01,3.243095e-01,2.456621e-01,1.722694e-01,9.594380e-02,1.091833e-01,9.518058e-02,4.690068e-01,8.167896e-01
1.165597e+01,0,7.958764e-01,4.185082e-01,2.089041e-01,1.042380e-01,3.382549e-25,4.709093e-25,2.161006e-25,4.974595e-03,8.461102e-04
1.702846e+01,2.500000e-01,7.454249e-01,3.246165e-01,3.639269e-01,3.476027e-01,5.880097e-02,6.687321e-02,5.846723e-02,4.709756e-01,8.159235e-01
2.467028e+01,2.500000e-01,7.454961e-01,3.247699e-01,4.981735e-01,5.442154e-01,1.485538e-02,1.688945e-02,1.478796e-02,8.823591e-04,6.215684e-04
7.591033e+00,2.500000e-01,7.455693e-01,3.249360e-01,6.452055e-01,3.159382e-01,2.757996e-03,3.134654e-03,2.748609e-03,5.971447e-03,1.409447e-03
1.490588e+00,2.500000e-01,7.456374e-01,3.250901e-01,7.410959e-01,2.227472e-01,3.134953e-02,3.561978e-02,3.127834e-02,6.639954e-03,3.931061e-04
8.953405e+00,2.500000e-01,5.747335e-01,6.864067e-01,6.420091e-01,1.383254e-01,1.025036e-02,1.239175e-02,7.381166e-03,4.704010e-01,8.161759e-01
3.000596e+00,2.500000e-01,5.747917e-01,6.864302e-01,6.452055e-01,7.512123e-02,1.922248e-02,2.323825e-02,1.384175e-02,6.144981e-03,4.116524e-04
2.340843e+00,5.000000e-01,5.699147e-01,5.647464e-01,6.057839e-01,2.468800e-01,3.549219e-02,3.891803e-02,2.398035e-02,3.929133e-01,7.451595e-01
3.707337e+01,2.500000e-01,5.879298e-01,6.491735e-01,3.639269e-01,4.287765e-01,4.298236e-01,5.057922e-01,3.680467e-01,4.709646e-01,8.159273e-01
1.166817e+01,5.000000e-01,5.808901e-01,5.318777e-01,1.849315e-01,2.347187e-01,2.559646e-01,2.849538e-01,1.529820e-01,3.923199e-01,7.453917e-01
5.505964e+01,5.000000e-01,3.320411e-01,5.490924e-01,8.904110e-02,4.050365e-01,1,1,1,3.882350e-01,7.469653e-01
2.196214e+01,2.500000e-01,5.878596e-01,6.499788e-01,1.337900e-01,2.585627e-01,3.796224e-01,4.467968e-01,3.247586e-01,4.702806e-01,8.162286e-01
6.534981e+01,2.500000e-01,4.913257e-01,5.658651e-01,4.374429e-01,5.517251e-01,1.658222e-01,1.699726e-01,2.141437e-01,4.701033e-01,8.163082e-01
3.244517e+00,5.000000e-01,6.034144e-01,4.685562e-01,1.875951e-01,5.163250e-01,3.618177e-01,3.462153e-01,4.007260e-01,7.222026e-03,6.239588e-04
2.930184e+00,2.500000e-01,5.394936e-01,5.340650e-01,1.657534e-01,2.150606e-01,4.231785e-01,4.628541e-01,4.750816e-01,8.450178e-03,9.472354e-04
3.573255e+01,2.500000e-01,3.418719e-01,7.763291e-01,7.091324e-01,3.613950e-01,3.658038e-01,4.484730e-01,2.319757e-01,4.707424e-01,8.160269e-01
4.892207e+01,5.000000e-01,4.385743e-01,7.189508e-01,5.924658e-01,3.710192e-01,2.568269e-01,2.577384e-01,2.543627e-01,3.944942e-01,7.445554e-01
6.733016e+01,2.500000e-01,2.455538e-01,6.211214e-01,8.497717e-01,5.921646e-01,2.264294e-01,2.303693e-01,2.962093e-01,4.714134e-01,8.157305e-01
4.563427e+01,5.000000e-01,3.767170e-01,6.552618e-01,8.162100e-01,5.834580e-01,4.758175e-01,4.921490e-01,4.288881e-01,3.922411e-01,7.454192e-01
3.992519e+01,2.500000e-01,5.758835e-01,6.869292e-01,7.123288e-01,7.080358e-01,2.726753e-01,3.296249e-01,1.964194e-01,4.701842e-01,8.162714e-01
4.281957e+01,2.500000e-01,5.874812e-01,6.539868e-01,7.027397e-01,5.892739e-01,4.143897e-01,4.881326e-01,3.528943e-01,4.695734e-01,8.165403e-01
6.221291e+00,0,7.963479e-01,4.251904e-01,7.802511e-01,1.568780e-01,2.858432e-25,4.092285e-25,1.001932e-25,3.505483e-04,1.938025e-04
6.747349e+01,2.500000e-01,5.763985e-01,6.871769e-01,5.780822e-01,7.033471e-01,6.761083e-01,8.172608e-01,4.872924e-01,4.710699e-01,8.158814e-01
5.757814e+00,0,7.965566e-01,4.281931e-01,9.520548e-01,6.269357e-01,2.431367e-25,3.190796e-25,2.482008e-25,6.049229e-03,8.632524e-04
1.105711e+01,0,9.248453e-01,3.048036e-03,5.764840e-01,3.544155e-01,7.968157e-25,1.021292e-24,8.915766e-25,7.884248e-03,6.348053e-04
1.124448e+01,2.500000e-01,7.483469e-01,3.313547e-01,5.972603e-01,2.694114e-01,8.963027e-02,1.006048e-01,9.325373e-02,4.690171e-01,8.167855e-01
2.925422e+01,2.500000e-01,7.486280e-01,3.320259e-01,3.990868e-01,2.989567e-01,3.317659e-01,3.719232e-01,3.465776e-01,5.124498e-03,1.030986e-03
2.076809e+01,2.500000e-01,4.866663e-01,4.271661e-01,3.223744e-01,5.583173e-01,1.395457e-02,1.535741e-02,1.540554e-02,4.704223e-01,8.161661e-01
1.908494e+01,5.000000e-01,6.041879e-01,4.767072e-01,2.728311e-01,5.884714e-01,1.145627e-01,1.184713e-01,1.033364e-01,3.922797e-01,7.454047e-01
5.535806e+00,0,7.967397e-01,4.309958e-01,3.567352e-01,5.846324e-01,1.213444e-24,1.590653e-24,1.227245e-24,8.102936e-03,1.621961e-03
9.269850e+00,0,4.730442e-01,8.621347e-01,3.647260e-01,4.686283e-01,0,1.186170e-27,0,5.848505e-01,9.132472e-01
2.613410e+01,0,4.730894e-01,8.624664e-01,4.206621e-01,4.091432e-01,6.058901e-27,1.067553e-26,0,8.742446e-03,3.921822e-03
1.938642e+01,0,6.238020e-01,7.011553e-01,2.848174e-01,6.133620e-01,4.980277e-26,5.812231e-26,7.635570e-26,7.990018e-03,1.021295e-03
1.051220e+02,0,6.242706e-01,7.011577e-01,2.328767e-01,6.456349e-01,2.312399e-25,2.953562e-25,2.650890e-25,6.742738e-03,4.694295e-04
2.738182e+01,2.500000e-01,5.463235e-01,7.504238e-01,4.086758e-01,4.595304e-01,3.540045e-01,3.999567e-01,3.603347e-01,4.704766e-01,8.161441e-01
7.801340e+01,2.500000e-01,6.840589e-01,5.680133e-01,4.182648e-01,3.845684e-01,2.303394e-01,2.493527e-01,2.655008e-01,4.698318e-01,8.164273e-01
1.378399e+01,7.500000e-01,4.343872e-01,6.605242e-01,4.223744e-01,3.560394e-01,3.955889e-01,3.556119e-01,3.878775e-01,9.990237e-01,9.761974e-01
1.976765e+01,2.500000e-01,5.201194e-01,8.098838e-01,4.374429e-01,4.887322e-01,1.239985e-01,1.419387e-01,1.203131e-01,6.740251e-03,5.510102e-04
2.248796e+01,2.500000e-01,5.201670e-01,8.099720e-01,4.949772e-01,6.586134e-01,2.069227e-02,2.369094e-02,2.006107e-02,6.101799e-03,7.580262e-04
2.178588e+01,2.500000e-01,5.202170e-01,8.100618e-01,4.342466e-01,6.864130e-01,6.196336e-02,7.095758e-02,6.002474e-02,7.204371e-03,1.139209e-03
5.004837e+01,2.500000e-01,5.792175e-01,6.888007e-01,5.045662e-01,4.855202e-01,2.122512e-01,2.563314e-01,1.540596e-01,4.697382e-01,8.164675e-01
2.531057e+01,2.500000e-01,6.126577e-01,5.971615e-01,5.301370e-01,3.817746e-01,4.873400e-02,5.220736e-02,5.759137e-02,4.653515e-01,8.183998e-01
3.357263e+01,2.500000e-01,6.126266e-01,5.974446e-01,5.013699e-01,3.738713e-01,4.139994e-02,4.435010e-02,4.892560e-02,7.314126e-03,1.875384e-03
3.457259e+01,2.500000e-01,6.125994e-01,5.977269e-01,5.109589e-01,3.406260e-01,3.997105e-02,4.281890e-02,4.723818e-02,6.696080e-03,6.602843e-04
3.095719e+01,0,7.973581e-01,4.404955e-01,5.804795e-01,1.472525e-01,1.997609e-25,2.597711e-25,2.135197e-25,6.228166e-03,7.373596e-04
2.012033e+01,2.500000e-01,7.514535e-01,3.389994e-01,5.780822e-01,4.881677e-02,2.032609e-04,2.249739e-04,2.207884e-04,4.706968e-01,8.160454e-01
2.098069e+01,0,6.395151e-01,3.164439e-01,5.804795e-01,6.986054e-02,4.055500e-25,5.847816e-25,7.050919e-26,2.985369e-04,4.937144e-04
2.045814e+01,2.500000e-01,4.533328e-01,5.255199e-01,4.981735e-01,1.870879e-01,5.974128e-02,7.437826e-02,3.108347e-02,4.706243e-01,8.160772e-01
4.341894e+00,5.000000e-01,5.782973e-01,5.670917e-01,5.738204e-01,3.313241e-01,2.783079e-01,2.874429e-01,2.521409e-01,3.880698e-01,7.470290e-01
1.740525e+01,5.000000e-01,5.783904e-01,5.671274e-01,5.045662e-01,3.720985e-01,4.804155e-01,4.662768e-01,5.164761e-01,7.332680e-03,1.419145e-03
7.315444e+00,5.000000e-01,5.784843e-01,5.671564e-01,4.166667e-01,3.252446e-01,3.181998e-01,3.180958e-01,3.184789e-01,6.976196e-03,1.718748e-03
1.335512e+01,5.000000e-01,5.785770e-01,5.671909e-01,3.660578e-01,4.273851e-01,3.430536e-01,3.310534e-01,3.733789e-01,6.332869e-03,1.555177e-03
5.152683e+01,5.000000e-01,6.053799e-01,4.894110e-01,3.740487e-01,2.521305e-01,4.397021e-01,4.538410e-01,3.992582e-01,3.936494e-01,7.448766e-01
1.028431e+01,2.500000e-01,7.199246e-01,4.530673e-01,4.821918e-01,2.785091e-01,3.631819e-02,4.327092e-02,2.896002e-02,7.684028e-03,6.909129e-04
2.875697e+01,2.500000e-01,6.934908e-01,5.477598e-01,4.534247e-01,5.317062e-01,2.371511e-01,2.489613e-01,2.927584e-01,7.111989e-03,2.184910e-03
1.374750e+01,0,7.237636e-01,6.982059e-01,4.686073e-01,7.627697e-01,1.313503e-25,1.767393e-25,1.189204e-25,6.819607e-03,5.514812e-04
1.104279e+01,0,6.370394e-01,5.303257e-01,7.083333e-01,5.052497e-01,1.750332e-25,2.526541e-25,5.254989e-26,0,1.855670e-04
2.209487e+01,0,6.370657e-01,5.308971e-01,5.964612e-01,4.531291e-01,3.260377e-25,4.234625e-25,3.476630e-25,6.842559e-03,3.087296e-04
3.683683e+01,0,6.370736e-01,5.310871e-01,6.284247e-01,4.520326e-01,1.416329e-26,2.016488e-26,1.276309e-26,5.855817e-03,3.116462e-04
1.190720e+01,0,6.370964e-01,5.314685e-01,5.445205e-01,3.935930e-01,4.117888e-25,4.993774e-25,5.496048e-25,7.004773e-03,1.025205e-03
1.055587e+01,0,6.371179e-01,5.318485e-01,6.284247e-01,2.489859e-01,1.106219e-25,1.103138e-25,2.051937e-25,7.488207e-03,1.236263e-03
1.343798e+01,0,6.371276e-01,5.320394e-01,7.163242e-01,3.526057e-01,1.196609e-25,1.269201e-25,2.064106e-25,6.711572e-03,3.949981e-04
1.909525e+01,0,6.371345e-01,5.322295e-01,7.323059e-01,4.126810e-01,2.013524e-25,2.740052e-25,1.654999e-25,6.776682e-03,1.169876e-03
4.213702e+01,0,7.571020e-01,5.899066e-01,4.765982e-01,3.595888e-01,6.096751e-25,7.271219e-25,8.444485e-25,6.313835e-03,6.984424e-04
2.583389e+01,0,7.571045e-01,5.902072e-01,5.085616e-01,1.958495e-01,3.505391e-25,4.993774e-25,1.400639e-25,6.296122e-03,9.226197e-04
1.037490e+01,2.500000e-01,7.215068e-01,4.590560e-01,6.260274e-01,3.555965e-01,2.230763e-01,2.659026e-01,1.773750e-01,4.703755e-01,8.161870e-01
1.103618e+01,2.500000e-01,7.215655e-01,4.592790e-01,5.237443e-01,4.609917e-01,9.829454e-02,1.171671e-01,7.814881e-02,5.672480e-03,1.040411e-03
3.408462e+00,2.500000e-01,7.216225e-01,4.595037e-01,4.246575e-01,4.950565e-01,1.043631e-01,1.244029e-01,8.296483e-02,6.353306e-03,1.106630e-03
1.985562e+01,2.500000e-01,7.216827e-01,4.597258e-01,4.438356e-01,6.542881e-01,2.670521e-01,3.183369e-01,2.122742e-01,7.656532e-03,1.459366e-03
3.063897e+01,2.500000e-01,7.217420e-01,4.599479e-01,4.182648e-01,6.120884e-01,2.143846e-01,2.555593e-01,1.703918e-01,6.084433e-04,7.290575e-04
1.304771e+01,0,6.372304e-01,5.341549e-01,7.123288e-01,3.290218e-01,4.960459e-26,7.472868e-26,5.049223e-27,7.034636e-03,3.380624e-04
2.426767e+01,0,6.372394e-01,5.343474e-01,7.562785e-01,2.907054e-01,5.386445e-25,5.847816e-25,8.793248e-25,6.390457e-03,7.048773e-04
1.595885e+01,2.500000e-01,7.219138e-01,4.606230e-01,7.442922e-01,2.632593e-01,3.513381e-02,4.188374e-02,2.791531e-02,4.700031e-01,8.163510e-01
2.530686e+01,2.500000e-01,7.220928e-01,4.612921e-01,6.515982e-01,6.000667e-01,1.743869e-01,2.079007e-01,1.385138e-01,6.934490e-03,1.066717e-03
2.416081e+01,2.500000e-01,7.222104e-01,4.617405e-01,6.356164e-01,7.734301e-01,1.854881e-01,2.211428e-01,1.473002e-01,3.262555e-04,2.332303e-04
1.471782e+01,0,6.373079e-01,5.357006e-01,8.641553e-01,3.678100e-01,5.110454e-25,6.986539e-25,3.929944e-25,6.174552e-03,7.069880e-05
1.572358e+01,0,6.373171e-01,5.358947e-01,9.001142e-01,3.995959e-01,2.102794e-25,2.882392e-25,1.624725e-25,6.632919e-03,2.995371e-04
7.668212e+00,0,6.373282e-01,5.360894e-01,8.961187e-01,4.142949e-01,1.604941e-25,2.289307e-25,7.331767e-26,6.756829e-03,8.755098e-04
4.739096e+00,0,6.373371e-01,5.362831e-01,9.041096e-01,4.456420e-01,1.654588e-25,2.194414e-25,1.614956e-25,6.771231e-03,2.940006e-04
3.513925e+01,0,6.373439e-01,5.364740e-01,9.360731e-01,4.105709e-01,2.013291e-25,2.811222e-25,1.281989e-25,7.407647e-03,1.489302e-03
1.202223e+01,0,6.373570e-01,5.366703e-01,9.840183e-01,3.954161e-01,2.305146e-26,3.439892e-26,1.063841e-26,5.880656e-03,6.538018e-04
1.504978e+01,2.500000e-01,7.226172e-01,4.633172e-01,1,4.047384e-01,8.695791e-02,1.036852e-01,6.900391e-02,4.707327e-01,8.160296e-01
2.151475e+01,2.500000e-01,7.226755e-01,4.635435e-01,9.680365e-01,3.625596e-01,1.230434e-01,1.467146e-01,9.762852e-02,6.065064e-05,2.849921e-04
2.532850e+01,0,6.801582e-01,5.908241e-01,8.481735e-01,1.129328e-01,2.514068e-25,3.380583e-25,2.234624e-25,6.571451e-03,3.227627e-04
2.183546e+01,0,6.802875e-01,5.911462e-01,8.561644e-01,6.635773e-02,7.439416e-26,9.133506e-26,9.944977e-26,6.277953e-03,6.323589e-04
1.653105e+01,2.500000e-01,7.229087e-01,4.644466e-01,4.534247e-01,1.670308e-01,1.102058e-01,1.314161e-01,8.740542e-02,4.702121e-01,8.162595e-01
3.624018e+01,0,7.572048e-01,5.979762e-01,4.885845e-01,3.135340e-01,2.674102e-25,2.811222e-25,4.582310e-25,5.498835e-03,1.640672e-03
2.302518e+01,0,9.388857e-01,4.308300e-05,4.686073e-01,3.799766e-01,6.939831e-25,9.358878e-25,5.938416e-25,5.858822e-01,9.127051e-01
2.110309e+01,0,9.393754e-01,8.146576e-06,5.445205e-01,4.600720e-01,1.363836e-24,1.818398e-24,1.254192e-24,7.951172e-03,1.781753e-03
3.058827e+01,0,9.395059e-01,0,5.245434e-01,4.760562e-01,1.081846e-24,1.249037e-24,1.596959e-24,4.375745e-03,1.507519e-03
3.955804e+01,2.500000e-01,7.234275e-01,4.664908e-01,3.735160e-01,5.093239e-01,3.175063e-01,3.786712e-01,2.515770e-01,4.707595e-01,8.160185e-01
5.462202e+01,2.500000e-01,7.234850e-01,4.667172e-01,3.735160e-01,5.195022e-01,2.302513e-01,2.746119e-01,1.824208e-01,6.032204e-03,1.367246e-03
6.689468e+01,2.500000e-01,7.235441e-01,4.669434e-01,4.214612e-01,5.123193e-01,3.717084e-01,4.433297e-01,2.944614e-01,7.196549e-03,1.328522e-03
1.699103e+01,0,7.572325e-01,6.012803e-01,6.044521e-01,3.459681e-01,3.401374e-26,4.151593e-26,4.836005e-26,6.195710e-04,4.997457e-04
3.385279e+00,0,7.572319e-01,6.015856e-01,5.724886e-01,4.254638e-01,4.933937e-25,6.417177e-25,5.206553e-25,7.529816e-03,1.013344e-03
2.728920e+01,0,7.572327e-01,6.018913e-01,6.603881e-01,2.382679e-01,6.953055e-25,8.694623e-25,8.488643e-25,6.942123e-03,8.267242e-04
1.042027e+01,0,7.572393e-01,6.021853e-01,5.884703e-01,2.815623e-01,1.844879e-25,2.052073e-25,2.945742e-25,6.331987e-03,1.194613e-03
9.593288e+00,2.500000e-01,7.238315e-01,4.680920e-01,5.173516e-01,2.614034e-01,4.007341e-02,4.779882e-02,3.172867e-02,4.701870e-01,8.162699e-01
1.178690e+01,2.500000e-01,7.238903e-01,4.683197e-01,6.579909e-01,4.482066e-01,1.734166e-01,2.068516e-01,1.372903e-01,6.413499e-03,8.588015e-04
2.206955e+01,2.500000e-01,7.240062e-01,4.687749e-01,5.429224e-01,6.703291e-01,1.261182e-01,1.504391e-01,9.982384e-02,4.705876e-01,8.160938e-01
9.110822e+00,0,6.375948e-01,5.418065e-01,7.442922e-01,4.745161e-01,2.268489e-26,2.372339e-26,4.423950e-26,5.785744e-04,5.402942e-04
3.334752e+01,0,6.375998e-01,5.420042e-01,7.962329e-01,3.673301e-01,1.745070e-25,2.479094e-25,8.556713e-26,7.478582e-03,9.459266e-04
2.633119e+01,2.500000e-01,7.241774e-01,4.694642e-01,7.730594e-01,2.959133e-01,3.135836e-02,3.740743e-02,2.481251e-02,4.693014e-01,8.166600e-01
3.768429e+01,0,6.376201e-01,5.423992e-01,7.642694e-01,2.566985e-01,2.455807e-25,3.143349e-25,2.790574e-25,6.672702e-03,6.675798e-04
1.144265e+01,2.500000e-01,7.242959e-01,4.699201e-01,6.675799e-01,3.191320e-01,6.297957e-02,7.513095e-02,4.982237e-02,4.699494e-01,8.163745e-01
