Err2D,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
4.360288e+00,0,7.144344e-01,4.646858e-01,3.189189e-01,5.625930e-01,0,0,0,6.000926e-01,8.660176e-01
1.777325e+01,2.000000e-01,6.161387e-01,3.857366e-01,5.081081e-01,8.268378e-02,6.907499e-01,8.368374e-01,6.619537e-01,5.002658e-01,7.905124e-01
3.287255e+00,0,4.182179e-01,3.475770e-01,3.405405e-01,0,1.434986e-23,1.906233e-23,1.533947e-23,6.742009e-05,9.642753e-05
1.386246e+00,0,4.181914e-01,3.476507e-01,3.405405e-01,2.674942e-01,6.534882e-25,4.274064e-25,1.502119e-24,9.679193e-05,7.419845e-05
2.818936e+00,2.000000e-01,6.162764e-01,3.861876e-01,2.738739e-01,3.845323e-01,4.857142e-02,5.881382e-02,4.660799e-02,5.000223e-01,7.905893e-01
1.094056e+00,0,1,9.666215e-02,8.054054e-01,3.130440e-01,3.611618e-17,5.628991e-17,5.240493e-18,1.766166e-04,3.648494e-05
1.095656e+00,2.000000e-01,8.963857e-01,7.793958e-02,9.855856e-01,3.670682e-01,1.633318e-01,1.999361e-01,1.522214e-01,5.000054e-01,7.905947e-01
3.976908e-01,4.000000e-01,6.344932e-01,3.485432e-01,5.119691e-01,6.659964e-01,6.461992e-01,7.313474e-01,5.518491e-01,4.286390e-01,7.319327e-01
1.355057e+00,4.000000e-01,6.346183e-01,3.487554e-01,5.737452e-01,5.033079e-01,8.869304e-01,1,7.653043e-01,1.418009e-04,1.203236e-04
1.230607e+00,4.000000e-01,6.347437e-01,3.489677e-01,5.891892e-01,4.912291e-01,8.635259e-01,9.725510e-01,7.472879e-01,4.271603e-05,2.418083e-05
7.570196e-01,4.000000e-01,6.348687e-01,3.491801e-01,5.583012e-01,5.171325e-01,8.327335e-01,9.343141e-01,7.278792e-01,7.200370e-05,0
7.806293e-02,4.000000e-01,6.349940e-01,3.493926e-01,5.814672e-01,5.271092e-01,7.262077e-01,8.352687e-01,5.913778e-01,7.878732e-05,5.404691e-05
1.805186e-01,4.000000e-01,6.351192e-01,3.496054e-01,5.351351e-01,3.456561e-01,7.033210e-01,8.069290e-01,5.772010e-01,3.737137e-05,3.011697e-05
6.666333e-01,6.000000e-01,6.774754e-01,2.889321e-01,6.432432e-01,1.727255e-01,8.430691e-01,8.231611e-01,7.924083e-01,3.749984e-01,6.846798e-01
1.996030e+00,6.000000e-01,6.775893e-01,2.891233e-01,6.094595e-01,2.253505e-01,1,9.368891e-01,1,8.132058e-05,7.847271e-05
1.263862e+00,4.000000e-01,5.118224e-01,2.702983e-01,1.953668e-01,3.209336e-01,6.818469e-01,7.214107e-01,6.762295e-01,4.286126e-01,7.319402e-01
4.012589e+00,0,4.390503e-01,4.315524e-01,3.945946e-01,4.502401e-01,2.507092e-23,3.581666e-23,2.084656e-23,2.455021e-04,2.246303e-04
1.336489e+01,2.000000e-01,0,1,4.540541e-01,5.136432e-01,2.862737e-01,3.528382e-01,2.616103e-01,1,1
1.615512e+01,0,8.835980e-01,1.887417e-03,1,1.134801e-01,2.963412e-22,4.606373e-22,7.016692e-23,5.530856e-05,1.658313e-05
1.166570e+01,0,8.837660e-01,1.937338e-03,9.459459e-01,8.036547e-02,1.466185e-21,2.015392e-21,1.415226e-21,8.743560e-03,9.376503e-05
1.735017e+01,0,8.839287e-01,1.986319e-03,9.027027e-01,6.484587e-02,6.799382e-21,9.950791e-21,4.836895e-21,6.072633e-05,2.002410e-05
7.112414e+00,0,8.841002e-01,2.038189e-03,9.027027e-01,1.049740e-01,1.908404e-21,2.878411e-21,1.013908e-21,1.060679e-04,6.880455e-05
1.624402e+01,0,8.842613e-01,2.087892e-03,9.027027e-01,6.484587e-02,2.914480e-21,3.424124e-21,3.900189e-21,2.669324e-05,1.761435e-05
7.900868e+00,0,8.844317e-01,2.140938e-03,9.027027e-01,6.484587e-02,6.380583e-22,8.497694e-22,6.773528e-22,6.224405e-05,1.051494e-04
1.644451e+00,2.000000e-01,4.488996e-01,6.287348e-01,5.981982e-01,2.069826e-01,6.169970e-02,7.810129e-02,5.163376e-02,4.999592e-01,7.906093e-01
3.934326e-01,0,4.641173e-01,7.718547e-01,2.972973e-01,5.576084e-01,4.267160e-18,6.050263e-18,3.640077e-18,1.107609e-04,4.794206e-05
3.066644e+00,9.324759e-01,4.509903e-03,6.602537e-01,4.958763e-01,4.746962e-01,4.045124e-01,2.623458e-01,2.838808e-01,5.499832e-05,9.827963e-05
3.239418e+00,9.324759e-01,4.492505e-03,6.602621e-01,5.005155e-01,4.292066e-01,4.545387e-01,2.931505e-01,3.234739e-01,4.541974e-05,6.502815e-05
3.246676e+00,9.324759e-01,4.475097e-03,6.602704e-01,4.974227e-01,4.506371e-01,4.138360e-01,2.725495e-01,2.786128e-01,3.196095e-05,3.840139e-05
